Energy Intensity Error
-5.1349 0.00014519 5.8042e-05
-5.0768 7.2935e-05 3.8923e-05
-5.0188 7.3201e-05 3.9065e-05
-4.9608 0.0002009 7.123e-05
-4.9028 0.00023582 7.8824e-05
-4.8448 0.00014532 5.8094e-05
-4.7867 0.00014713 5.8817e-05
-4.7287 0.00016292 6.2234e-05
-4.6707 5.4722e-05 3.3202e-05
-4.6127 0.00010949 4.9143e-05
-4.5547 0.00020213 7.1666e-05
-4.4966 0.00012829 5.4074e-05
-4.4386 7.3192e-05 3.906e-05
-4.3806 0.00010878 4.8827e-05
-4.3226 0.00016514 6.308e-05
-4.2645 0.00011016 4.9447e-05
-4.2065 0.00018362 6.7417e-05
-4.1485 0.00016464 6.289e-05
-4.0905 0.00012869 5.4241e-05
-4.0325 0.00020176 7.1534e-05
-3.9744 0.00025536 8.3229e-05
-3.9164 0.00012866 5.423e-05
-3.8584 0.00012897 5.4362e-05
-3.8004 7.3955e-05 3.9467e-05
-3.7424 0.00018334 6.7314e-05
-3.6843 0.00016496 6.3014e-05
-3.6263 0.0002406 8.0422e-05
-3.5683 0.00018384 6.7496e-05
-3.5103 0.00016553 6.3229e-05
-3.4523 0.00020409 7.2363e-05
-3.3942 0.00025678 8.3693e-05
-3.3362 0.00023917 7.9942e-05
-3.2782 7.4323e-05 3.9664e-05
-3.2202 0.00022204 7.6317e-05
-3.1621 0.00012738 5.3691e-05
-3.1041 0.00020424 7.2413e-05
-3.0461 0.000182 6.6824e-05
-2.9881 0.00023734 7.9334e-05
-2.9301 0.00019052 6.9951e-05
-2.872 0.00014446 5.7749e-05
-2.814 0.00016714 6.3847e-05
-2.756 0.00020258 7.1826e-05
-2.698 0.00016478 6.2942e-05
-2.64 0.00035894 0.00010614
-2.5819 0.00028497 8.8893e-05
-2.5239 0.00036081 0.00010669
-2.4659 0.00029789 9.1149e-05
-2.4079 0.00029067 9.259e-05
-2.3499 0.00024948 8.1315e-05
-2.2918 0.0003334 0.00010022
-2.2338 0.00036363 0.00010589
-2.1758 0.00028257 9.0011e-05
-2.1178 0.00037005 0.00010776
-2.0597 0.00042088 0.00011639
-2.0017 0.00021996 7.7989e-05
-1.9437 0.00040756 0.00011403
-1.8857 0.00042058 0.00011767
-1.8277 0.00042199 0.00011955
-1.7696 0.0004171 0.0001167
-1.7116 0.00054583 0.00014248
-1.6536 0.00042803 0.00011976
-1.5956 0.00079801 0.00019415
-1.5376 0.00086846 0.00020258
-1.4795 0.0010845 0.00024813
-1.4215 0.0011059 0.00025022
-1.3635 0.0017566 0.0003759
-1.3055 0.0029168 0.00058884
-1.2475 0.0038145 0.00075874
-1.1894 0.0054237 0.0010601
-1.1314 0.0081839 0.0015746
-1.0734 0.0097664 0.0018753
-1.0154 0.012235 0.0023297
-0.95735 0.016945 0.0032103
-0.89933 0.019633 0.0037124
-0.84131 0.026416 0.004974
-0.78328 0.028255 0.0053218
-0.72526 0.029978 0.0056428
-0.66724 0.036414 0.0068395
-0.60922 0.039262 0.0073723
-0.5512 0.042742 0.0080256
-0.49318 0.043276 0.0081232
-0.43516 0.045867 0.0086044
-0.37714 0.048642 0.0091226
-0.31912 0.046424 0.0087122
-0.26109 0.04725 0.0088655
-0.20307 0.050314 0.0094376
-0.14505 0.044227 0.0082992
-0.087032 0.047467 0.0089043
-0.029011 0.0411 0.0077144
0.029011 0.043065 0.0080822
0.087032 0.034957 0.00657
0.14505 0.040077 0.0075276
0.20307 0.028289 0.0053276
0.26109 0.025288 0.0047684
0.31912 0.023492 0.0044311
0.37714 0.019148 0.0036197
0.43516 0.014589 0.0027706
0.49318 0.011257 0.0021511
0.5512 0.0081508 0.0015683
0.60922 0.0053038 0.0010352
0.66724 0.0035948 0.00071981
0.72526 0.002585 0.00053008
0.78328 0.0013614 0.00029658
0.84131 0.001541 0.00033407
0.89933 0.00079205 0.00018998
0.95735 0.00068861 0.00017024
1.0154 0.00061946 0.00016042
1.0734 0.00054439 0.0001421
1.1314 0.00078267 0.00018948
1.1894 0.00052248 0.00013753
1.2475 0.00063191 0.00015808
1.3055 0.00043663 0.00012369
1.3635 0.00044499 0.00012306
1.4215 0.00030474 9.5059e-05
1.4795 0.00032521 9.6164e-05
1.5376 0.00044928 0.0001257
1.5956 0.00035397 0.00010467
1.6536 0.00028775 8.9758e-05
1.7116 0.00022221 7.6375e-05
1.7696 0.00030451 9.4988e-05
1.8277 0.00031079 9.5098e-05
1.8857 0.00012536 5.284e-05
1.9437 0.0001998 7.3357e-05
2.0017 0.00037028 0.00010631
2.0597 0.00026191 8.5365e-05
2.1178 0.00018554 6.8123e-05
2.1758 0.00011278 5.0624e-05
2.2338 0.00011136 4.9985e-05
2.2918 0.00023681 7.9156e-05
2.3499 0.00021439 7.6014e-05
2.4079 0.00035636 0.00010378
2.4659 0.00026871 8.758e-05
2.5239 0.0001434 5.7326e-05
2.5819 0.00020945 7.4262e-05
2.64 0.00022353 7.6829e-05
2.698 0.00027578 8.7847e-05
2.756 0.00016844 6.434e-05
2.814 0.00018115 6.6512e-05
2.872 0.00013505 5.6923e-05
2.9301 0.00018501 6.7926e-05
2.9881 0.00025891 8.4388e-05
3.0461 0.00015155 6.0581e-05
3.1041 0.00026175 8.5312e-05
3.1621 0.00022115 7.6012e-05
3.2202 0.00029993 9.356e-05
3.2782 0.00024024 8.0301e-05
3.3362 9.2546e-05 4.4844e-05
3.3942 0.00022486 7.7287e-05
3.4523 0.00024266 8.1112e-05
3.5103 0.00014873 5.9455e-05
3.5683 0.00012952 5.4593e-05
3.6263 0.00011142 5.0012e-05
3.6843 0.00027793 8.8534e-05
3.7424 0.00014869 5.9441e-05
3.8004 0.00020596 7.3027e-05
3.8584 0.00031739 9.7116e-05
3.9164 0.00011041 4.9556e-05
3.9744 0.00026309 8.5748e-05
4.0325 0.00018677 6.8573e-05
4.0905 0.0002064 7.3182e-05
4.1485 0.00011106 4.9848e-05
4.2065 3.7383e-05 2.7338e-05
4.2645 0.0001875 6.8842e-05
4.3226 0.00011125 4.9936e-05
4.3806 0.0001298 5.4708e-05
4.4386 9.3143e-05 4.5134e-05
4.4966 7.5041e-05 4.0047e-05
4.5547 0.00018437 6.7693e-05
4.6127 0.00016689 6.3751e-05
4.6707 0.00014785 5.9103e-05
4.7287 0.00016836 6.4313e-05
4.7867 0.0002055 7.2863e-05
4.8448 7.4232e-05 3.9615e-05
4.9028 0.00011122 4.9923e-05
4.9608 7.3996e-05 3.9489e-05
5.0188 9.2306e-05 4.4728e-05
5.0768 0.0001107 4.9687e-05
5.1349 0.0001862 6.8363e-05
5.1929 0.00014867 5.9432e-05
5.2509 0.00016587 6.3359e-05
5.3089 0.00012826 5.406e-05
5.3669 0.00020589 7.2999e-05
5.425 0.00011088 4.9771e-05
5.483 0.00018624 6.838e-05
5.541 0.00024102 8.0562e-05
5.599 0.00013038 5.4955e-05
5.6571 9.2737e-05 4.4937e-05
5.7151 0.00013234 5.5782e-05
5.7731 0.0001671 6.3829e-05
5.8311 0.00016751 6.3986e-05
5.8891 9.4234e-05 4.5662e-05
5.9472 0.00018451 6.7744e-05
6.0052 0.00014992 5.9929e-05
6.0632 0.00018664 6.8526e-05
6.1212 9.4099e-05 4.5597e-05
6.1792 5.5686e-05 3.3787e-05
6.2373 0.00016732 6.3914e-05
6.2953 0.00011183 5.0194e-05
6.3533 0.00015125 6.0462e-05
6.4113 0.00010987 4.9316e-05
6.4694 7.5576e-05 4.0332e-05
6.5274 0.00018569 6.8177e-05
6.5854 0.00011423 5.1274e-05
6.6434 0.00014986 5.9907e-05
6.7014 0.00011175 5.0161e-05
6.7595 9.3861e-05 4.5482e-05
6.8175 0.00013069 5.5086e-05
6.8755 0.00020648 7.3208e-05
6.9335 0.00022459 7.7194e-05
6.9915 7.3607e-05 3.9282e-05
7.0496 0.00016964 6.4799e-05
7.1076 7.5596e-05 4.0343e-05
7.1656 0.00018498 6.7917e-05
7.2236 0.00012964 5.4644e-05
7.2816 0.0001115 5.0045e-05
7.3397 0.00013108 5.5248e-05
7.3977 0.00020523 7.2767e-05
7.4557 0.00018644 6.8453e-05
7.5137 0.00018747 6.8831e-05
7.5718 0.00029776 9.2882e-05
7.6298 0.00011128 4.9949e-05
7.6878 0.00016747 6.3973e-05
7.7458 0.00013084 5.5149e-05
7.8038 7.447e-05 3.9742e-05
7.8619 0.00016648 6.3592e-05
7.9199 0.00020244 7.1776e-05
7.9779 5.6179e-05 3.4086e-05
8.0359 0.00018693 6.8632e-05
8.0939 9.2604e-05 4.4873e-05
8.152 0.00018495 6.7906e-05
8.21 0.00014952 5.9771e-05
8.268 9.2001e-05 4.4581e-05
8.326 7.3793e-05 3.9381e-05
8.384 0.00011014 4.9437e-05
8.4421 9.2854e-05 4.4994e-05
8.5001 0.00014801 5.9169e-05
8.5581 0.00012817 5.4025e-05
8.6161 0.00011046 4.958e-05
8.6742 0.0001102 4.9465e-05
8.7322 7.3928e-05 3.9453e-05
8.7902 9.2076e-05 4.4617e-05
8.8482 0.00024093 8.0532e-05
8.9062 7.364e-05 3.93e-05
8.9643 0.00018481 6.7854e-05
9.0223 7.3386e-05 3.9164e-05
9.0803 0.00014725 5.8864e-05
9.1383 0.00011107 4.9856e-05
9.1963 0.0002596 8.4611e-05
9.2544 0.00018312 6.7232e-05
9.3124 0.00016561 6.3259e-05
9.3704 0.00011194 5.0244e-05
9.4284 0.00011051 4.9604e-05
9.4864 0.00012865 5.4228e-05
9.5445 0.00016688 6.3745e-05
9.6025 0.0001108 4.9733e-05
9.6605 0.00018431 6.7669e-05
9.7185 0.00023788 7.9512e-05
9.7766 3.6674e-05 2.6819e-05
9.8346 0.00010998 4.9365e-05
9.8926 7.3239e-05 3.9086e-05
9.9506 0.0001461 5.8402e-05
10.009 0.00011034 4.9528e-05
10.067 0.00027725 8.8317e-05
10.125 0.00016303 6.2274e-05
10.183 0.00010939 4.9102e-05
10.241 7.3887e-05 3.9431e-05
10.299 9.1844e-05 4.4504e-05
10.357 7.27e-05 3.8798e-05
10.415 0.00016416 6.2705e-05
10.473 0.00012775 5.3845e-05
10.531 0.00016474 6.293e-05
10.589 0.00010988 4.9318e-05
10.647 0.00016327 6.2366e-05
10.705 0.00011009 4.9415e-05
10.763 0.00010919 4.9008e-05
10.821 0.00018313 6.7236e-05
10.879 0.00010897 4.891e-05
10.937 0.00012723 5.3627e-05
10.995 3.6564e-05 2.6739e-05
11.053 0.00021976 7.5533e-05
11.111 0.00027163 8.6527e-05
11.169 9.1263e-05 4.4223e-05
11.227 0.00012773 5.3836e-05
11.285 5.4275e-05 3.2931e-05
11.343 0.00018137 6.6592e-05
11.401 0.000181 6.6454e-05
11.459 0.00020058 7.1117e-05
11.517 0.00016533 6.3152e-05
11.575 0.00012684 5.3462e-05
11.633 0.00012719 5.361e-05
11.691 7.2724e-05 3.8811e-05
11.749 0.00018076 6.6368e-05
11.807 0.00018159 6.6672e-05
11.865 9.0977e-05 4.4084e-05
11.923 0.00014543 5.8137e-05
11.981 9.1125e-05 4.4156e-05
12.039 8.9674e-05 4.3453e-05
12.097 0.00014508 5.7995e-05
12.155 0.00014527 5.8071e-05
12.213 0.00016199 6.1876e-05
12.271 0.00014416 5.7628e-05
12.329 5.4175e-05 3.2871e-05
12.388 0.00018192 6.6791e-05
12.446 0.00016144 6.167e-05
12.504 0.00012515 5.2748e-05
12.562 0.0001434 5.7326e-05
12.62 0.00014358 5.7397e-05
